Country,E-Government_Index,E-Participation_Index
Afghanistan,-2.028356273102412,-1.4382559319387282
Albania,0.6816421201477195,0.8148132594994373
Algeria,-0.25464989059376225,-1.6385612396785263
Andorra,0.1747053041186907,0.16382100934509408
Angola,-1.0821719186747554,-1.0376453164591324
Antigua and Barbuda,-0.0382090745712501,-0.5869583740445868
Argentina,0.9442014088182786,0.46427897095479087
Armenia,0.87477181146531,1.2655002019139832
Australia,1.40387480501336,1.3155765288489323
Austria,1.1695270150033736,1.0151185672392355
Azerbaijan,0.501793816186567,-0.03611877776014233
Bahamas,0.28933741637098614,-0.687111027914486
Bahrain,1.229293258107347,1.465805509653781
Bangladesh,0.026549138263246994,0.4142026440198412
Barbados,0.1389371540311787,-0.6370347009795365
Belarus,0.42741804699051106,-0.03611877776014233
Belgium,0.7371491597201449,0.013592028540245498
Belize,-0.7509615967376397,-0.9875689895241829
Benin,-0.8856073857994652,-0.48680572017468793
Bhutan,-0.0002884237742459585,-0.03611877776014233
Bolivia,0.06373702286127499,-0.28650041243488983
Bosnia and Herzegovina,-0.08350318524544893,0.16382100934509408
Botswana,-0.18036571717257832,-0.8373400087193343
Brazil,0.8660244149650351,1.3155765288489323
Brunei Darussalam,0.4772003506334378,-0.13627143163004146
Bulgaria,0.7481864505922199,0.6145079517596395
Burkina Faso,-1.6565232250095685,-1.0376453164591324
Burundi,-1.846172276882024,-1.0376453164591324
Cabo Verde,-0.1254082522493843,0.16382100934509408
Cambodia,-0.3471616232144721,-0.687111027914486
Cameroon,-1.0158565776674346,-0.28650041243488983
Canada,0.8884653798086727,1.5158818365887303
Central African Republic,-2.548482880713007,-1.5384085858086274
Chile,1.0602074576936538,1.2154238749790334
China,1.010654143487907,1.56595816352368
Colombia,0.5868404931552096,0.864889586434387
Comoros,-1.797763909862177,-1.8388665474183246
Costa Rica,0.6857181321295228,0.8148132594994373
Croatia,1.0560398499369783,1.5158818365887303
Cuba,-0.7282916424568221,-1.6385612396785263
Cyprus,0.9649936497142203,0.7146606056295384
Czech Republic,0.7912822626694913,0.3140499901499423
Democratic Republic of the Congo,-1.7388220287320515,-0.9374926625892332
Denmark,1.5277122926402904,1.7662634712634777
Djibouti,-1.6492413609072454,-1.488332258873678
Dominica,-0.4884023080670805,-0.7371873548494354
Dominican Republic,0.22947957749214057,0.5644316248246898
Ecuador,0.5899089516134216,1.365652855783882
Egypt,0.08599479615516845,0.3140499901499423
El Salvador,-0.2398113750644998,-0.4367293932397385
Eritrea,-2.2603225729657264,-1.788790220483375
Estonia,1.4727548277170968,1.6661108173935788
Eswatini,-0.19712774397415248,-0.4367293932397385
Ethiopia,-1.5574623944855115,-1.2379506241989304
Fiji,0.11118363424496595,-0.38665306630478896
Finland,1.4027756557148963,1.4157291827188312
France,1.0224699984463939,1.1152712211091345
Gabon,-0.35302375280627923,-1.388179605003779
Gambia,-1.8135641810275953,-1.1878742972639809
Georgia,0.5865199079431576,0.21389733628004334
Germany,1.314614722400606,1.7161871443285286
Ghana,-0.08918212328751239,0.11374468241014443
Greece,0.9901824878040173,0.6145079517596395
Grenada,-0.024698697777631545,-0.9374926625892332
Guatemala,-0.3541686999921795,-0.13627143163004146
Guinea,-1.1475713019333562,0.013592028540245498
Guinea-Bissau,-1.5701942071927182,-1.0376453164591324
Guyana,-0.4893182658158003,-1.0376453164591324
Haiti,-2.0128765871490453,-1.488332258873678
Honduras,-0.7582892587273988,-0.7371873548494354
Hungary,0.7013352117451972,0.16382100934509408
Iceland,1.4467874255408875,1.6661108173935788
India,0.07601085669412172,0.5644316248246898
Indonesia,0.6775661081659157,1.065194894174185
Iran,0.023938658679395465,-1.1878742972639809
Iraq,-0.8882636632707527,-1.488332258873678
Ireland,1.2026846855070341,1.5158818365887303
Israel,1.146170092411016,0.7146606056295384
Italy,0.8445452057575535,0.5644316248246898
Jamaica,0.07605665458155751,-0.2364240854999404
Japan,1.3003715794080117,1.7662634712634777
Jordan,0.1546458294217252,0.4142026440198412
Kazakhstan,1.1438801980392166,1.2655002019139832
Kenya,-0.0905102620231563,0.06366835547519475
Kiribati,-0.8881720674958806,-0.6370347009795365
Kuwait,0.5955420917680487,-0.7371873548494354
Kyrgyzstan,0.36838457008551373,-0.13627143163004146
Laos,-0.9653415078255323,-0.7872636817843849
Latvia,1.0719317168772686,1.0151185672392355
Lebanon,-0.48666198834451246,-0.13627143163004146
Lesotho,-1.0939877736332422,-1.087721643394082
Liberia,-1.8311505698030175,-1.2379506241989304
Libya,-0.4787847517055216,-1.788790220483375
Lithuania,1.1901818622370073,1.2154238749790334
Luxembourg,0.894968679824584,0.46427897095479087
Madagascar,-1.5008104077271855,-0.7371873548494354
Malawi,-1.2632109677092436,-0.18634775856499092
Malaysia,0.7326609667514176,0.7146606056295384
Maldives,0.10701602648829006,-0.08619510469509199
Mali,-1.605824963617922,-0.8373400087193343
Malta,1.0874114028306345,0.864889586434387
Mauritania,-1.3832930285664224,-1.388179605003779
Mauritius,0.45544635410134005,-0.3365767393698395
Mexico,0.6128994911062906,0.864889586434387
Moldova,0.5531790458897534,0.8148132594994373
Mongolia,0.8908926678427805,1.0151185672392355
Montenegro,0.320342586165155,0.013592028540245498
Morocco,0.1508904026519734,-0.2364240854999404
Mozambique,-1.678048232104486,-1.087721643394082
Myanmar,-0.6919739177200782,-1.2379506241989304
Namibia,-0.2309265849019165,-0.8373400087193343
Nepal,-0.33447560839470125,-1.0376453164591324
Netherlands,1.3861968204630661,1.56595816352368
New Zealand,1.2611685877627998,1.56595816352368
Nicaragua,-0.5466114229982302,-0.9875689895241829
Niger,-2.0132429702485335,-1.087721643394082
Nigeria,-0.7772037862384649,-0.48680572017468793
North Macedonia,0.25590495854270995,0.263973663214993
Norway,1.284021733593361,1.3155765288489323
Oman,0.9453921538916142,0.5644316248246898
Pakistan,-0.6485575204307552,-0.03611877776014233
Palau,-0.6591368324284698,-0.7371873548494354
Panama,0.3601867482344703,0.06366835547519475
Papua New Guinea,-1.5736290487504176,-1.1377979703290315
Paraguay,0.33847854958980883,0.36412631708489196
Peru,0.713700641352916,0.9149659133693363
Philippines,0.5081597225401704,0.8148132594994373
Poland,0.9784124307329668,0.9149659133693363
Portugal,0.8718407466694065,0.5143552978897405
Qatar,0.7932973697166751,-0.08619510469509199
Republic of the Congo,-1.4290909160024177,-1.5384085858086274
Romania,0.5151210014304415,0.6645842786945887
Russia,0.9255158707443923,0.5143552978897405
Rwanda,-0.32623198865622255,0.9149659133693363
Saint Kitts and Nevis,-0.09444888034265174,-1.087721643394082
Saint Lucia,-0.575647283632651,-1.3381032780688293
Saint Vincent and the Grenadines,-0.291013413217942,-0.5869583740445868
Samoa,-0.7385503692424851,-0.7371873548494354
Sao Tome and Principe,-1.0093074797640875,-1.2379506241989304
Saudi Arabia,1.4154158726472308,1.6661108173935788
Senegal,-0.6178729358486384,-0.28650041243488983
Serbia,0.9648562560519125,1.4157291827188312
Seychelles,0.11983943497036877,-0.7371873548494354
Sierra Leone,-1.58892554315404,-0.6370347009795365
Singapore,1.4561759924652664,1.6661108173935788
Slovakia,0.691442868059022,0.7146606056295384
Slovenia,1.0292022878994849,1.0151185672392355
Solomon Islands,-1.296322840325468,-0.48680572017468793
South Africa,0.9638487025283206,1.2154238749790334
Spain,1.2339646426258186,1.1152712211091345
Sri Lanka,0.0710646848510344,-0.3365767393698395
Sudan,-1.7184419688230337,-1.588484912743577
Suriname,-0.06692434999361895,-0.7872636817843849
Sweden,1.2890137033238847,1.065194894174185
Switzerland,1.1412239205679289,1.1653475480440838
Syria,-1.2017502027701383,-1.588484912743577
Tajikistan,-0.4149882945071806,-0.8373400087193343
Tanzania,-1.0004226896015045,-0.7872636817843849
Thailand,0.8423927050480614,0.9149659133693363
Timor-Leste,-1.141022204030009,-0.6370347009795365
Togo,-1.187003283015748,-0.18634775856499092
Tonga,-0.6172317654245344,-0.6370347009795365
Trinidad and Tobago,0.21111462463030678,-0.6370347009795365
Tunisia,0.19380302317950066,-0.18634775856499092
Turkmenistan,-0.803629167289034,-1.6886375666134759
Uganda,-0.9379543711388074,-0.2364240854999404
Ukraine,1.0666649598221292,1.8163397981984275
United Arab Emirates,1.3836321387666504,1.0151185672392355
United Kingdom,1.404012198675668,1.7161871443285286
United States of America,1.2286978855706794,1.6160344904586295
Uruguay,1.1423230698663929,1.3155765288489323
Uzbekistan,0.6811841412733596,0.7146606056295384
Vanuatu,-0.4966917256929955,-0.13627143163004146
Venezuela,-0.5272847145002403,-1.0376453164591324
Viet Nam,0.5484618634838461,0.36412631708489196
Yemen,-1.9208228334026956,-1.28802695113388
Zambia,-0.49824885386581935,-0.3365767393698395
Zimbabwe,-0.9301229323872521,-0.8373400087193343
