Country,R&D_Expenditure,Patent_Applications
Afghanistan,-0.22515049429581518,-1.6027525414364643
Albania,-0.22426448473514948,-0.41758577517959966
Algeria,-0.13019861148502782,-0.09414383397132853
Andorra,-0.22718793328409528,0.8535234992079194
Angola,-0.2267361194749892,-1.2925185320161359
Antigua and Barbuda,-0.22722087139168196,2.4354678298833843
Argentina,-0.11085028195367806,0.5708955441811815
Armenia,-0.21894446969156162,0.653942724542012
Australia,0.5681196541190783,-0.15534032881896592
Austria,-0.041719832817530444,0.31503006190374666
Azerbaijan,-0.21231510103786025,-0.1603984407909653
Bahamas,-0.2270838846109047,-0.3988606401056974
Bahrain,-0.21873637234518048,0.9461171692611612
Bangladesh,-0.1372264291068614,-0.206007407045057
Barbados,-0.2263864393328187,0.06910868870185832
Belarus,-0.2079131399929391,0.3153870089230524
Belgium,-0.002459395913346835,-0.3033147184649107
Belize,-0.22708401227798833,-1.3320493188827687
Benin,-0.22202903410009817,-0.09988072479810832
Bhutan,-0.2258384922097096,-0.5034085160450961
Bolivia,-0.22491009717726568,-0.36776716249303537
Bosnia and Herzegovina,-0.21404128767615432,0.1559691583775757
Botswana,-0.22229713497580392,1.5156494067456259
Brazil,0.628449500509559,-0.38875857865499786
Brunei Darussalam,-0.22202022507132496,0.15216705797721608
Bulgaria,-0.16623290118488548,0.14297589230933297
Burkina Faso,-0.22206044020268084,-0.022520572620613043
Burundi,-0.2269531535172272,-1.5624108880269914
Cabo Verde,-0.22702949843326153,-0.37898883427423374
Cambodia,-0.2247162985442555,0.11117503586377389
Cameroon,-0.20808344788255406,-0.8508067711717248
Canada,0.654254592797489,-0.6084190332410958
Central African Republic,-0.22705745752458512,-2.262334954069613
Chile,-0.11167258563959272,0.6393571572227149
China,11.24931037507238,0.35640010702874936
Colombia,-0.10368534988398356,1.242677981030726
Comoros,-0.22726274619512551,-0.350125701605722
Costa Rica,-0.2182287680205109,1.134852949448157
Croatia,-0.15439803486164774,-0.036717977512210905
Cuba,-0.21151169208032866,-1.2807415502777506
Cyprus,-0.2034811771833556,1.0405963577986572
Czech Republic,-0.04314778914837278,0.4576981704857597
Democratic Republic of the Congo,-0.22427840044726946,-1.7808810175972296
Denmark,-0.02143429922496356,0.40433850091117995
Djibouti,-0.22714248380230895,-1.8960165381066822
Dominica,-0.22724448980216083,-0.7624976952131556
Dominican Republic,-0.22590845377156046,-0.6324832872086039
Ecuador,-0.18168266098222258,-0.4382392720721621
Egypt,0.0794096748313343,-0.5517678078157938
El Salvador,-0.2266110057329932,1.9836898708981427
Eritrea,-0.22687234025326447,-1.7979518137350665
Estonia,-0.20379025919291924,1.2210166869646708
Eswatini,-0.22675909955004972,0.2787685362157567
Ethiopia,-0.13595294994725904,-1.6179473322481288
Fiji,-0.22459335514268186,-0.14951364279525176
Finland,-0.0739474730836174,0.46552198886074
France,0.6138677492140902,0.1834840153755637
Gabon,-0.22609612438455448,0.3710107619475343
Gambia,-0.22630881774594772,-0.3156418484062437
Georgia,-0.21966923572555283,1.2513133799515492
Germany,1.2277916891585343,0.3663674455754873
Ghana,-0.18804954611189958,0.2057672720092511
Greece,-0.03446502312093268,-0.0970739187764891
Grenada,-0.2266369221509781,-0.8998496901356667
Guatemala,-0.22576087062283862,0.07838373681891646
Guinea,-0.22670816038366562,-0.30120779883262816
Guinea-Bissau,-0.22712192940183817,0.3866497245646279
Guyana,-0.22694191881386433,-0.17365125698695807
Haiti,-0.2268309761181556,-1.3911169721986971
Honduras,-0.22527828904656824,-1.042842583199308
Hungary,-0.11494150131694791,-0.24064941907838788
Iceland,-0.21753630175868804,0.28871639595767984
India,2.4203820058846097,-0.9118573539141248
Indonesia,0.18054881518507582,0.0703119701481131
Iran,0.550690416189447,1.4926269046655
Iraq,-0.05613957458382271,-0.4090253388318821
Ireland,-0.10916392744548885,0.023751610663774125
Israel,-0.030480278105443133,1.1405046846637805
Italy,0.9291699544282673,0.5884851515323389
Jamaica,-0.22516479300918615,-0.17911241935288583
Japan,1.096890287591446,1.5792555412938944
Jordan,-0.1602935731184173,-1.286940615535072
Kazakhstan,-0.18197910395050293,0.5153485737205923
Kenya,-0.2016859226527964,0.26452647029295207
Kiribati,-0.227284577266433,-1.8243495052176573
Kuwait,-0.21027255536623338,1.965559751803843
Kyrgyzstan,-0.22428695414187527,0.5142387377757809
Laos,-0.22623898385118055,-1.3618575816274754
Latvia,-0.20572913919260652,0.13325925770856178
Lebanon,-0.20061313614872234,-1.025762465451182
Lesotho,-0.2266982023511394,-1.2883787580895785
Liberia,-0.22697970827063046,-2.3117567468270073
Libya,-0.2221023150061244,2.6432482437097042
Lithuania,-0.18731724771997188,0.7652813247572278
Luxembourg,-0.21236578487007704,0.7061634446276485
Madagascar,-0.22531046115165296,-1.2119064287882215
Malawi,-0.2226923922668444,-1.500302418363084
Malaysia,0.11108834663764278,0.8270909159183413
Maldives,-0.22685255185529574,0.6908696322091611
Mali,-0.22580287309336586,0.05874351571083995
